scientificName
Acalypha poiretii
Acalypha villosa
Actinostemon concolor
Actinostemon desertorum
Alchornea castaneifolia
Aparisthmium cordatum
Astraea comosa
Astraea lobata
Astraea praetervisa
Bernardia hamadryadica
Bernardia sidoides
Bernardia tamanduana
Bia lessertiana
Caperonia palustris
Cnidoscolus adenoblepharus
Cnidoscolus adenochlamys
Cnidoscolus bahianus
Cnidoscolus byssinus
Cnidoscolus calyptrodontus
Cnidoscolus ceballosii
Cnidoscolus froesii
Cnidoscolus hamosus
Cnidoscolus infestus
Cnidoscolus magni-gerdtii
Cnidoscolus oligandrus
Cnidoscolus piranii
Cnidoscolus populifolius
Cnidoscolus pubescens
Cnidoscolus quercifolius
Cnidoscolus rupestris
Cnidoscolus sellowianus
Cnidoscolus ulei
Cnidoscolus urens
Cnidoscolus urnigerus
Cnidoscolus vitifolius
Croton acradenius
Croton adamantinus
Croton adenocalyx
Croton adenodontus
Croton agoensis
Croton antisyphiliticus
Croton araripensis
Croton arenosus
Croton argenteus
Croton argyroglossus
Croton argyrophylloides
Croton argyrophyllus
Croton atrorufus
Croton betaceus
Croton betulaster
Croton blanchetianus
Croton campestris
Croton catinganus
Croton cearensis
Croton celtidifolius
Croton compressus
Croton conduplicatus
Croton cordiifolius
Croton cuyabensis
Croton echioides
Croton floribundus
Croton fuscescens
Croton gardnerianus
Croton glandulosodentatus
Croton glandulosus
Croton glutinosus
Croton gnaphaloides
Croton grewioides
Croton harleyi
Croton heliotropiifolius
Croton hemiargyreus
Croton hirtus
Croton imbricatus
Croton jacobinensis
Croton japirensis
Croton laceratoglandulosus
Croton limae
Croton linearifolius
Croton luetzelburgii
Croton lundianus
Croton mucronifolius
Croton muscicarpa
Croton nepetifolius
Croton paludosus
Croton pedicellatus
Croton piauhiensis
Croton plagiograptus
Croton pulegiodorus
Croton pulegioides
Croton rhexiifolius
Croton rottlerifolius
Croton rudolphianus
Croton salzmannii
Croton sellowii
Croton sincorensis
Croton sonderianus
Croton subacutus
Croton tartonraira
Croton tetradenius
Croton teucridium
Croton timandroides
Croton triangularis
Croton tricolor
Croton triqueter
Croton urticifolius
Croton velutinus
Croton virgultosus
Dalechampia alata
Dalechampia allemii
Dalechampia arciana
Dalechampia brasiliensis
Dalechampia convolvuloides
Dalechampia coriacea
